OT,LAT,LON,DEPTH,MAG,MAGTYPE,GT
1960/08/04T07:34:55.04,51.1132,178.9792,40,,nomag,CH03
1962/07/07T06:12:48.71,51.1293,178.7581,29,,nomag,CH03
1963/04/29T21:44:19.88,51.1601,178.7312,54,5.9,mb,CH03
1963/04/30T03:26:5.79,51.1232,178.6201,34,5.4,mb,CH05
1963/04/30T07:07:57.15,51.1331,178.6788,48,5.8,mb,CH05
1965/01/31T23:36:14.95,50.9129,178.6836,21,5.1,mb,CH07
1965/02/04T04:54:0.08,50.9251,178.5609,31,5.3,mb,CH05
1965/02/04T08:40:40.26,51.2209,179.6065,9,6.1,mb,CH03
1965/02/07T09:25:52.54,51.176,179.1731,18,5.2,mb,CH03
1965/02/15T01:25:9.03,50.9366,179.3533,26,5.6,mb,CH04
1965/02/18T23:13:40.63,51.3048,179.2886,31,5.6,mb,CH04
1965/02/19T18:52:45.04,50.934,178.4677,31,5.5,mb,CH04
1965/05/25T13:07:53.31,51.0775,178.8034,44,5.4,mb,CH03
1965/06/04T15:02:22.23,50.9836,178.5199,45,5.2,mb,CH06
1965/10/29T21:00:0.31,51.4404,179.2009,0.7,6.1,mb,CH03
1966/07/04T18:33:39.65,51.6673,179.8839,13,5.9,mb,CH03
1967/11/08T17:09:29.80,50.8566,178.5607,28,5.4,mb,CH04
1969/10/02T22:05:59.92,51.4082,179.1669,1.2,6.4,mb,CH02
1971/11/06T21:59:59.91,51.4792,179.1086,1.8,6.6,mb,CH02
1972/01/03T17:06:26.39,50.9869,178.9448,53,5.4,mb,CH03
1972/01/03T17:31:31.33,50.9524,178.9189,33,5.1,mb,CH04
1972/01/05T00:58:55.64,50.9534,178.8769,24,5,mb,CH05
1975/06/15T07:53:51.95,51.3981,179.4809,13,5,mb,CH04
1982/02/07T09:29:0.57,51.0004,179.0091,38,5,mb,CH04
1983/06/29T16:17:41.78,51.1517,179.08,47,4.9,mb,CH05
1984/10/29T23:04:43.83,51.0377,179.4648,15,5.4,Mw,CH04
1984/11/22T04:15:19.80,51.0553,179.4541,48,4.6,mb,CH05
1986/03/02T05:40:16.04,50.6812,179.2042,38,5.7,Mw,CH03
1987/03/06T16:54:55.05,51.0041,179.5963,38,5,mb,CH04
1989/09/20T13:19:34.34,51.0706,178.8425,28,6.2,Mw,CH03
